platform,video_title,video_url,author,content,comment_id,likes,time_parsed,video_transcript,scraped_at
YouTube,3 Ways To Drape Your Saree Pallu | Stylish & Trendy Ways To Wear Your Saree | Shop Now #Shorts,https://www.youtube.com/watch?v=VCc9J0QHyDM,@nirja_kamat,Love to be featured here!🎀💝,UgzfohD_IKqQk5vFQ8F4AaABAg,0,1724233719.24147,Transcript not available,2026-08-21T15:18:39.241745
YouTube,What To Wear To A Nikah | Muslim Wedding Outfit Inspo | Stylish Anarkali Look | Shop Now #Shorts,https://www.youtube.com/watch?v=k-F302zSQE8,@Manyakiduniyaa,❤❤,UgxGJjAkp_oy82o8rpF4AaABAg,0,1724233733.511892,Transcript not available,2026-08-21T15:18:53.512198
YouTube,What To Wear To A Nikah | Muslim Wedding Outfit Inspo | Stylish Anarkali Look | Shop Now #Shorts,https://www.youtube.com/watch?v=k-F302zSQE8,@shreyamohanty4971,wow❤,UgxVKvUnF6Pst_lJ2OB4AaABAg,0,1724233733.515653,Transcript not available,2026-08-21T15:18:53.515850
YouTube,Get Ready For Your Brothers Cocktail Party | Stylish Green Sequin Dress Look | Shop Now #Shorts,https://www.youtube.com/watch?v=cUVjl0QuJxc,@Mimansasahuu,🤗❤,UgwwIupUqGe47WC_sPJ4AaABAg,0,1724233738.28056,Transcript not available,2026-08-21T15:18:58.280678
YouTube,Must-Have Lingerie For Teenagers | Teen Bra- The Perfect Bra For Girls | Shop Now #Shorts,https://www.youtube.com/watch?v=KGQeZrCa5e4,@Parineeti-0658,Papa ki bunniyan esse aachi Dikhti hai 🥀🥀🥀,UgyTfxzEVPPDUvBtNBZ4AaABAg,1,1755769753.741036,Transcript not available,2026-08-21T15:19:13.741162
YouTube,Must-Have Lingerie For Teenagers | Teen Bra- The Perfect Bra For Girls | Shop Now #Shorts,https://www.youtube.com/watch?v=KGQeZrCa5e4,@riya.debnath_31,Kya matlab?,UgyTfxzEVPPDUvBtNBZ4AaABAg.AJ6jZIbWZFFALbT45nvnP-,0,1755769754.236473,Transcript not available,2026-08-21T15:19:14.236792
YouTube,Must-Have Lingerie For Teenagers | Teen Bra- The Perfect Bra For Girls | Shop Now #Shorts,https://www.youtube.com/watch?v=KGQeZrCa5e4,@withywood157,Do they come in red or black or white,UgyTfxzEVPPDUvBtNBZ4AaABAg.AJ6jZIbWZFFANdDAOjT9GD,0,1761040154.240617,Transcript not available,2026-08-21T15:19:14.240919
YouTube,Get Ready For A Marwari Wedding | Wedding Dressing Guide | Stylish Lehenga Look | Shop Now #Shorts,https://www.youtube.com/watch?v=cZQ8Ppy02L0,@nirja_kamat,So lovely to be featured on this! ❤️✨,UgwIJCBRR9_DZSZHfk14AaABAg,0,1724233764.685319,Transcript not available,2026-08-21T15:19:24.685486
YouTube,Get Ready For A Marwari Wedding | Wedding Dressing Guide | Stylish Lehenga Look | Shop Now #Shorts,https://www.youtube.com/watch?v=cZQ8Ppy02L0,@tanushree5656,Your dress is so beautiful ❤️❤️,UgynOU63mtJ_XkxoaQd4AaABAg,0,1724233764.687006,Transcript not available,2026-08-21T15:19:24.687167
YouTube,Get Ready For Your BFF's Roka Party | Stylish Red Color Indian Suit Look | Shop Now #shorts,https://www.youtube.com/watch?v=NXfwNSMtIfg,@laurynelove7093,I love your pyjamas ! Where did you get them? Great video,UgyhtWKac1_waWQ3KbJ4AaABAg,0,1724233781.104508,Transcript not available,2026-08-21T15:19:41.104812
