platform,id,comment_id,author,video_title,video_url,content,likes,time_parsed,created_at,video_transcript,scraped_at
YouTube,UgxL8GtLCaRa6upx7pR4AaABAg,UgxL8GtLCaRa6upx7pR4AaABAg,@Ishq_ika_,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Di vo last vid ka give away ho gya h kya?😄,2,1761899676.608365,2025-10-31T14:04:36.608365,Transcript not available,2026-08-31T14:04:37.974319
YouTube,UgxFK7yR0l_8fxD1edJ4AaABAg,UgxFK7yR0l_8fxD1edJ4AaABAg,@riyagupta2430,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,I like that injection type liploss. That was looking cool 😎😅😊❤,1,1761899676.614112,2025-10-31T14:04:36.614112,Transcript not available,2026-08-31T14:04:37.974348
YouTube,UgzpffmjvYXlRzFeAKx4AaABAg,UgzpffmjvYXlRzFeAKx4AaABAg,@riyagupta2430,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Lovely products 🎉😊,1,1761899676.617031,2025-10-31T14:04:36.617031,Transcript not available,2026-08-31T14:04:37.974360
YouTube,Ugz0bbgACYOYiWsuJ-t4AaABAg,Ugz0bbgACYOYiWsuJ-t4AaABAg,@piyasamondal6585,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,"📌I like last purple saree 💜l would style it at diwali 🎆with long earring,open hair,some bangles ,at last one mini ston Bindi you look so pretty all saree❤@shopsoniawishlist @hervagabondlife 🥺🥺🥺",0,1761899676.623755,2025-10-31T14:04:36.623755,Transcript not available,2026-08-31T14:04:37.974428
YouTube,UgyHNIsun5TVO73K4qR4AaABAg,UgyHNIsun5TVO73K4qR4AaABAg,@SHUBHI12124,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Didi please make a video on diwali outfits,2,1761899676.626645,2025-10-31T14:04:36.626645,Transcript not available,2026-08-31T14:04:37.974449
YouTube,UgxgxQozC5l46f7z7p54AaABAg,UgxgxQozC5l46f7z7p54AaABAg,@Asha-q9y1s,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,"Hiiiiii di 
I am your big fan 
I love these kind of videos 💖",1,1761899676.651238,2025-10-31T14:04:36.651238,Transcript not available,2026-08-31T14:04:37.974501
YouTube,UgzPYeZXL1H5TD2f4vN4AaABAg,UgzPYeZXL1H5TD2f4vN4AaABAg,@pandaartcraft626,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,42nd comment🌝✨,0,1761899677.068319,2025-10-31T14:04:37.068319,Transcript not available,2026-08-31T14:04:37.974513
YouTube,UgzmfmY99u14VqZxUa14AaABAg,UgzmfmY99u14VqZxUa14AaABAg,@who_cares3-d7q,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Beautiful sonia dii 🎉❤,0,1761899677.073587,2025-10-31T14:04:37.073587,Transcript not available,2026-08-31T14:04:37.974527
YouTube,UgwGOT50_En6G2KE99Z4AaABAg,UgwGOT50_En6G2KE99Z4AaABAg,@Sumitra-d1e,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Who agree that her channel is adective🎉,32,1761899677.07856,2025-10-31T14:04:37.078560,Transcript not available,2026-08-31T14:04:37.974548
YouTube,Ugw2uJHGA4NpYVHHxyN4AaABAg,Ugw2uJHGA4NpYVHHxyN4AaABAg,@sanahpathan7890,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,"I luv ur videos, plz try collegen mask from meesho and strobe cream",1,1761899677.083545,2025-10-31T14:04:37.083545,Transcript not available,2026-08-31T14:04:37.974575
YouTube,UgwywRFhxMn7di7JvYR4AaABAg,UgwywRFhxMn7di7JvYR4AaABAg,@EktaChouhan1,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,What's bheeni bheeni,0,1761899677.092339,2025-10-31T14:04:37.092339,Transcript not available,2026-08-31T14:04:37.974593
YouTube,Ugz3_oYytiTclPV6v114AaABAg,Ugz3_oYytiTclPV6v114AaABAg,@vanshikaparashar3664,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,freeup haul when di?,1,1761899677.097913,2025-10-31T14:04:37.097913,Transcript not available,2026-08-31T14:04:37.974609
YouTube,UgxiLDhQ8s2T6sHKFn54AaABAg,UgxiLDhQ8s2T6sHKFn54AaABAg,@GrowsMusic,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Diwali makeup and outfit video please 😅❤,1,1761899677.100827,2025-10-31T14:04:37.100827,Transcript not available,2026-08-31T14:04:37.974633
YouTube,Ugw4BzOK9XcHNQx0Rrt4AaABAg,Ugw4BzOK9XcHNQx0Rrt4AaABAg,@Reeva-g4e,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,I love you so much 💗😘 ur just so cute 🥺🥰,2,1761899677.10362,2025-10-31T14:04:37.103620,Transcript not available,2026-08-31T14:04:37.974660
YouTube,UgxPGURphOkatVUHe_Z4AaABAg,UgxPGURphOkatVUHe_Z4AaABAg,@vikasverma3319,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,🌟☺️👌💯💯🤗💓,0,1761899677.109021,2025-10-31T14:04:37.109021,Transcript not available,2026-08-31T14:04:37.974673
YouTube,Ugz523A1EXsPLgFPgHl4AaABAg,Ugz523A1EXsPLgFPgHl4AaABAg,@Wavydiary,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,"Sonia di .... I love your videos you make  so well content ....i sosososo luuvvv it 
🌸🌸🌸🫶🏼✨️
(Muah)🤭💋🌸✨️🫶🏼",0,1761899677.111577,2025-10-31T14:04:37.111577,Transcript not available,2026-08-31T14:04:37.974712
YouTube,UgydF_9Yh3N6cxjySBZ4AaABAg,UgydF_9Yh3N6cxjySBZ4AaABAg,@TejaswaniBansal,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,"Hi didi ❤
Thankyou for the good content😊",1,1761899677.117278,2025-10-31T14:04:37.117278,Transcript not available,2026-08-31T14:04:37.974737
YouTube,UgwGFx9FnZU0lO_PJWB4AaABAg,UgwGFx9FnZU0lO_PJWB4AaABAg,@Art_by_neha-123,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,18th comment 😂❤😊,3,1761899677.12043,2025-10-31T14:04:37.120430,Transcript not available,2026-08-31T14:04:37.974751
YouTube,Ugzwh8nBXc5Vf-iMW1V4AaABAg,Ugzwh8nBXc5Vf-iMW1V4AaABAg,@kavitadubey8980,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,First ... You are the best 🌸love your  videos and personality 💗😘..,2,1761899677.123445,2025-10-31T14:04:37.123445,Transcript not available,2026-08-31T14:04:37.974780
YouTube,UgwsfOI1lVcWNgJVkXN4AaABAg,UgwsfOI1lVcWNgJVkXN4AaABAg,@pratikshaakhanda9164,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Within 1 min,0,1761899677.126235,2025-10-31T14:04:37.126235,Transcript not available,2026-08-31T14:04:37.974792
YouTube,Ugz2zoephmrHCaKBwhJ4AaABAg,Ugz2zoephmrHCaKBwhJ4AaABAg,@tanishkasingh3098,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,love ur videos and u dii,0,1761899677.128914,2025-10-31T14:04:37.128914,Transcript not available,2026-08-31T14:04:37.974807
YouTube,UgwGOT50_En6G2KE99Z4AaABAg.AOALS2wY39FAOAUTUb2k5f,UgwGOT50_En6G2KE99Z4AaABAg.AOALS2wY39FAOAUTUb2k5f,@Perspective_matters_to_us,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,"Addictive..Yes, you are absolutely right 😊",2,1761899677.430672,2025-10-31T14:04:37.430672,Transcript not available,2026-08-31T14:04:37.974828
YouTube,UgxMbXnoaWsmmk3jJ654AaABAg,UgxMbXnoaWsmmk3jJ654AaABAg,@disha_singh_vlogs,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Plz reply,0,1761899677.810988,2025-10-31T14:04:37.810988,Transcript not available,2026-08-31T14:04:37.974839
YouTube,UgxqCHVDiA18AduFTgV4AaABAg,UgxqCHVDiA18AduFTgV4AaABAg,@milky14-20y,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,My fav dii ❤,0,1761899677.813842,2025-10-31T14:04:37.813842,Transcript not available,2026-08-31T14:04:37.974853
